iter	Passed	Remaining
264	1319	3658
265	1323	3651
266	1328	3646
267	1332	3640
268	1337	3635
269	1343	3631
270	1347	3625
271	1351	3618
272	1357	3614
273	1361	3608
274	1366	3602
275	1371	3596
276	1375	3590
277	1380	3584
278	1384	3578
279	1389	3571
280	1393	3565
281	1398	3560
282	1402	3553
283	1407	3547
284	1411	3540
285	1415	3534
286	1420	3528
287	1424	3521
288	1428	3514
289	1432	3508
290	1436	3501
291	1441	3494
292	1445	3489
293	1450	3483
294	1454	3476
295	1458	3469
296	1462	3462
297	1466	3454
298	1470	3447
299	1475	3442
300	1479	3436
301	1483	3429
302	1487	3422
303	1491	3415
304	1496	3409
305	1500	3403
306	1505	3397
307	1509	3392
308	1514	3386
309	1518	3380
310	1523	3374
311	1527	3368
312	1531	3361
313	1536	3356
314	1541	3351
315	1545	3344
316	1549	3338
317	1554	3333
318	1559	3328
319	1563	3321
320	1567	3315
321	1571	3309
322	1575	3303
323	1580	3297
324	1585	3292
325	1589	3285
326	1593	3279
327	1597	3272
328	1602	3267
329	1606	3262
330	1611	3256
331	1615	3250
332	1619	3244
333	1623	3237
334	1627	3231
335	1632	3225
336	1637	3220
337	1641	3214
338	1645	3209
339	1650	3204
340	1655	3198
341	1659	3192
342	1663	3186
343	1668	3180
344	1672	3175
345	1677	3170
346	1682	3165
347	1686	3159
348	1690	3153
349	1695	3148
350	1699	3142
351	1703	3136
352	1708	3131
353	1713	3127
354	1718	3122
355	1723	3117
356	1727	3110
357	1731	3104
358	1735	3099
359	1740	3093
360	1744	3087
361	1748	3081
362	1753	3076
363	1757	3071
364	1761	3065
365	1766	3059
366	1770	3054
367	1774	3048
368	1778	3041
369	1783	3036
370	1788	3032
371	1792	3026
372	1796	3020
373	1800	3014
374	1805	3008
375	1809	3003
376	1814	2998
377	1818	2992
378	1823	2987
379	1827	2981
380	1831	2975
381	1835	2969
382	1839	2963
383	1843	2956
384	1847	2951
385	1851	2945
386	1855	2939
387	1860	2934
388	1864	2928
389	1869	2923
390	1873	2918
391	1877	2912
392	1881	2906
393	1885	2900
394	1889	2894
395	1894	2888
396	1898	2883
397	1902	2877
398	1906	2871
399	1910	2866
400	1916	2863
401	1921	2858
402	1925	2852
403	1930	2848
404	1936	2844
405	1940	2839
406	1945	2835
407	1950	2830
408	1955	2825
409	1959	2820
410	1964	2815
411	1969	2811
412	1974	2806
413	1978	2800
414	1983	2795
415	1987	2790
416	1992	2785
417	1996	2780
418	2001	2775
419	2006	2770
420	2010	2765
421	2014	2759
422	2018	2753
423	2023	2748
424	2028	2743
425	2032	2739
426	2037	2733
427	2041	2728
428	2046	2723
429	2050	2718
430	2055	2713
431	2060	2708
432	2064	2703
433	2069	2698
434	2073	2693
435	2077	2687
436	2082	2682
437	2086	2677
438	2091	2672
439	2097	2668
440	2101	2664
441	2106	2659
442	2111	2655
443	2117	2651
444	2121	2646
445	2127	2642
446	2132	2637
447	2136	2632
448	2141	2627
449	2146	2623
450	2151	2619
451	2156	2614
452	2161	2609
453	2166	2605
454	2170	2600
455	2175	2595
456	2181	2591
457	2186	2587
458	2190	2582
459	2195	2577
460	2200	2572
461	2204	2567
462	2209	2562
463	2213	2556
464	2217	2551
465	2222	2546
466	2226	2541
467	2230	2536
468	2235	2530
469	2239	2525
470	2244	2521
471	2249	2516
472	2253	2510
473	2258	2506
474	2263	2501
475	2267	2496
476	2272	2491
477	2277	2486
478	2281	2481
479	2286	2477
480	2291	2472
481	2296	2467
482	2301	2463
483	2305	2458
484	2311	2454
485	2317	2451
486	2322	2446
487	2327	2441
488	2331	2436
489	2336	2431
490	2340	2426
491	2345	2422
492	2350	2417
493	2355	2412
494	2360	2408
495	2365	2403
496	2369	2398
497	2374	2393
498	2378	2388
499	2383	2383
500	2388	2378
501	2392	2373
502	2397	2368
503	2401	2362
504	2405	2357
505	2410	2353
506	2414	2348
507	2419	2343
508	2423	2337
509	2427	2332
510	2432	2327
511	2436	2322
512	2440	2317
513	2445	2312
514	2449	2306
515	2454	2302
516	2458	2296
517	2462	2291
518	2467	2286
519	2471	2281
520	2475	2276
521	2480	2271
522	2484	2265
523	2488	2260
524	2492	2255
525	2497	2250
526	2501	2245
527	2506	2240
528	2511	2236
529	2516	2231
530	2520	2226
531	2524	2221
532	2530	2217
533	2534	2211
534	2539	2207
535	2543	2202
536	2547	2196
537	2552	2191
538	2556	2186
539	2561	2181
540	2565	2176
541	2570	2171
542	2574	2166
543	2578	2161
544	2582	2156
545	2587	2151
546	2591	2146
547	2596	2141
548	2600	2135
549	2604	2130
550	2608	2125
551	2613	2120
552	2617	2115
553	2621	2110
554	2626	2106
555	2631	2101
556	2636	2096
557	2640	2091
558	2645	2087
559	2649	2082
560	2654	2077
561	2659	2072
562	2663	2067
563	2668	2062
564	2672	2057
565	2677	2053
566	2681	2048
567	2686	2042
568	2690	2037
569	2694	2032
570	2698	2027
571	2703	2022
572	2709	2018
573	2713	2013
574	2717	2008
575	2721	2003
576	2726	1998
577	2730	1993
578	2735	1989
579	2740	1984
580	2745	1980
581	2750	1975
582	2755	1970
583	2759	1965
584	2763	1960
585	2769	1956
586	2773	1951
587	2777	1946
588	2781	1941
589	2785	1935
590	2789	1930
591	2794	1926
592	2799	1921
593	2802	1915
594	2807	1910
595	2811	1905
596	2815	1900
597	2819	1895
598	2823	1890
599	2828	1885
600	2832	1880
601	2837	1875
602	2841	1870
603	2846	1866
604	2850	1861
605	2854	1856
606	2859	1851
607	2863	1846
608	2867	1841
609	2872	1836
610	2876	1831
611	2880	1826
612	2885	1821
613	2889	1816
614	2894	1811
615	2898	1806
616	2902	1802
617	2907	1797
618	2911	1792
619	2915	1786
620	2919	1781
621	2923	1776
622	2927	1771
623	2932	1767
624	2936	1762
625	2941	1757
626	2946	1752
627	2951	1748
628	2955	1743
629	2960	1738
630	2964	1733
631	2969	1729
632	2973	1724
633	2977	1719
634	2982	1714
635	2986	1709
636	2991	1704
637	2995	1699
638	2999	1694
639	3003	1689
640	3008	1684
641	3012	1679
642	3016	1674
643	3020	1669
644	3024	1664
645	3029	1659
646	3033	1654
647	3037	1650
648	3041	1645
649	3046	1640
650	3050	1635
651	3055	1630
652	3060	1626
653	3065	1621
654	3069	1616
655	3075	1612
656	3080	1608
657	3085	1603
658	3090	1599
659	3096	1594
660	3101	1590
661	3105	1585
662	3110	1580
663	3114	1576
664	3119	1571
665	3124	1566
666	3128	1562
667	3133	1557
668	3139	1553
669	3144	1548
670	3148	1543
671	3153	1539
672	3158	1534
673	3162	1529
674	3166	1524
675	3170	1519
676	3175	1514
677	3179	1509
678	3183	1505
679	3187	1500
680	3191	1495
681	3195	1490
682	3199	1485
683	3203	1480
684	3208	1475
685	3212	1470
686	3217	1465
687	3221	1460
688	3225	1455
689	3229	1450
690	3233	1446
691	3238	1441
692	3243	1436
693	3248	1432
694	3252	1427
695	3257	1422
696	3261	1417
697	3266	1413
698	3270	1408
699	3275	1403
700	3279	1399
701	3284	1394
702	3289	1389
703	3294	1385
704	3298	1380
705	3303	1375
706	3308	1371
707	3312	1366
708	3316	1361
709	3321	1356
710	3326	1352
711	3330	1347
712	3335	1342
713	3339	1337
714	3344	1333
715	3349	1328
716	3353	1323
717	3358	1319
718	3363	1314
719	3367	1309
720	3372	1304
721	3376	1300
722	3381	1295
723	3385	1290
724	3390	1285
725	3394	1281
726	3398	1276
727	3403	1271
728	3407	1266
729	3412	1262
730	3416	1257
731	3420	1252
732	3424	1247
733	3428	1242
734	3432	1237
735	3437	1233
736	3442	1228
737	3447	1223
738	3452	1219
739	3456	1214
740	3461	1209
741	3465	1205
742	3470	1200
743	3475	1195
744	3479	1191
745	3483	1186
746	3488	1181
747	3492	1176
748	3496	1171
749	3501	1167
750	3505	1162
751	3509	1157
752	3514	1152
753	3518	1148
754	3523	1143
755	3527	1138
756	3533	1134
757	3537	1129
758	3542	1124
759	3547	1120
760	3552	1115
761	3556	1110
762	3561	1106
763	3566	1101
764	3570	1096
765	3575	1092
766	3579	1087
767	3583	1082
768	3588	1077
769	3592	1073
770	3596	1068
771	3602	1063
772	3606	1059
773	3610	1054
774	3614	1049
775	3618	1044
776	3623	1039
777	3627	1035
778	3631	1030
779	3636	1025
780	3641	1021
781	3645	1016
782	3650	1011
783	3654	1006
784	3659	1002
785	3664	997
786	3669	993
787	3673	988
788	3677	983
789	3681	978
790	3686	973
791	3690	969
792	3695	964
793	3699	959
794	3704	955
795	3709	950
796	3714	946
797	3718	941
798	3723	936
799	3728	932
800	3732	927
801	3736	922
802	3741	917
803	3745	913
804	3749	908
805	3754	903
806	3758	898
807	3762	894
808	3767	889
809	3772	884
810	3776	880
811	3780	875
812	3784	870
813	3789	865
814	3793	861
815	3798	856
816	3802	851
817	3806	846
818	3810	842
819	3814	837
820	3819	832
821	3824	828
822	3830	823
823	3835	819
824	3839	814
825	3844	809
826	3848	805
827	3853	800
828	3857	795
829	3861	790
830	3865	786
831	3870	781
832	3874	776
833	3878	771
834	3882	767
835	3887	762
836	3891	757
837	3895	753
838	3899	748
839	3903	743
840	3907	738
841	3911	734
842	3916	729
843	3920	724
844	3925	720
845	3929	715
846	3934	710
847	3938	705
848	3942	701
849	3947	696
850	3951	691
851	3954	687
852	3959	682
853	3964	677
854	3968	673
855	3973	668
856	3978	663
857	3982	659
858	3986	654
859	3991	649
860	3995	645
861	3999	640
862	4003	635
863	4007	630
864	4011	626
865	4016	621
866	4021	616
867	4025	612
868	4030	607
869	4034	602
870	4039	598
871	4044	593
872	4048	589
873	4053	584
874	4058	579
875	4062	575
876	4066	570
877	4071	565
878	4076	561
879	4080	556
880	4084	551
881	4088	547
882	4092	542
883	4097	537
884	4101	532
885	4106	528
886	4111	523
887	4115	519
888	4119	514
889	4124	509
890	4128	505
891	4132	500
892	4136	495
893	4141	491
894	4146	486
895	4150	481
896	4154	477
897	4159	472
898	4163	467
899	4167	463
900	4171	458
901	4175	453
902	4180	449
903	4184	444
904	4189	439
905	4193	435
906	4197	430
907	4201	425
908	4207	421
909	4212	416
910	4216	411
911	4221	407
912	4226	402
913	4232	398
914	4237	393
915	4242	389
916	4247	384
917	4251	379
918	4255	375
919	4259	370
920	4263	365
921	4268	361
922	4272	356
923	4276	351
924	4281	347
925	4285	342
926	4289	337
927	4294	333
928	4298	328
929	4302	323
930	4306	319
931	4311	314
932	4317	310
933	4321	305
934	4326	300
935	4331	296
936	4335	291
937	4339	286
938	4343	282
939	4348	277
940	4352	272
941	4356	268
942	4361	263
943	4365	258
944	4369	254
945	4374	249
946	4378	245
947	4382	240
948	4386	235
949	4390	231
950	4394	226
951	4399	221
952	4403	217
953	4408	212
954	4412	207
955	4416	203
956	4421	198
957	4425	194
958	4430	189
959	4434	184
960	4438	180
961	4442	175
962	4447	170
963	4451	166
964	4456	161
965	4460	156
966	4464	152
967	4469	147
968	4473	143
969	4478	138
970	4482	133
971	4486	129
972	4490	124
973	4495	120
974	4499	115
975	4504	110
976	4509	106
977	4514	101
978	4518	96
979	4523	92
980	4528	87
981	4532	83
982	4537	78
983	4541	73
984	4545	69
985	4549	64
986	4553	59
987	4557	55
988	4562	50
989	4566	46
990	4571	41
991	4575	36
992	4579	32
993	4583	27
994	4588	23
995	4594	18
996	4598	13
997	4603	9
998	4607	4
999	4611	0
